gender,age,marital_status,disability,residence_district,father_education_level,mother_education_level,household_members,economic_dependency,insurance_type,chronic_disease,academic_program,current_semester,enrolled_courses,weighted_average,failed_course,class_attendance,career_motivation,career_satisfaction,personal_motivation,professor_motivation,considered_career_change,dropout_thought,transportation,commute_time,internet_access,study_space,library_usage,academic_tutoring,university_support,housing_type,personal_income,family_income,scholarship,currently_working,work_hours,work_affects_studies,study_hours,bullying_experience,demotivation,academic_stress,emotional_support,dropout_reason
Male,27,Single,No,San Juan de Miraflores,Primary,Secondary,2,Total,EsSalud,No,Software Engineering,7,4–5,<10,No,Sometimes,Per realize word speak west inside enter beyond.,Unsatisfied,No,Yes,Yes,No,Public,<30 min,Yes,Yes,Sometimes,Yes,Yes,Shared,0,<1000,No,Yes,<10,Yes,5–10,Yes,Yes,Yes,No,
Female,20,Divorced,No,San Isidro,Primary,Secondary,3,Partial,EsSalud,No,Systems Engineering,5,3,13–15,No,Always,Return like sit include number during raise care your energy.,Satisfied,No,Yes,No,No,Private,>1 h,Yes,Yes,Regularly,No,No,Dormitory,0,1000–2000,No,No,>20,Yes,<5,No,No,Yes,Yes,
Male,24,Single,No,Rímac,Primary,Secondary,1,Partial,EsSalud,Yes,Software Engineering,2,4–5,13–15,No,Always,Important tend particularly central thank ok crime above boy majority.,Satisfied,No,Yes,No,No,Public,<30 min,Yes,Yes,Sometimes,No,Yes,Owned,0,<1000,No,No,<10,Yes,>10,No,No,Yes,No,
Female,22,Single,No,Breña,Secondary,Secondary,2,Minimal,Private,No,Systems Engineering,1,6 or more,13–15,No,Always,Note reveal number occur west civil ask close sound me.,Satisfied,No,Yes,No,No,Private,<30 min,Yes,Yes,Regularly,No,No,Shared,0,<1000,No,No,10–20,Yes,<5,Yes,No,No,Yes,
Female,25,Single,No,Los Olivos,Secondary,Primary,4,Total,EsSalud,Yes,Software Engineering,6,4–5,13–15,Yes,Almost always,Cup receive line manager size give.,Very satisfied,Yes,No,No,Yes,Public,<30 min,Yes,Yes,Sometimes,No,No,Shared,0,<1000,Yes,No,<10,Yes,<5,No,No,No,Yes,Cover they example social in relationship bank common take morning present.
Female,26,Single,No,San Juan de Miraflores,Technical,Secondary,3,Partial,None,Yes,Software Engineering,9,3,13–15,Yes,Almost always,Professional miss answer coach certain.,Satisfied,Yes,No,Yes,Yes,Public,30–60 min,Yes,Yes,Sometimes,No,Yes,Owned,0,<1000,No,No,>20,Yes,<5,No,No,Yes,Yes,Health degree hear three cause clearly hit.
Male,30,Divorced,No,La Molina,Secondary,Secondary,7,Minimal,None,Yes,Software Engineering,1,4–5,13–15,No,Always,She performance instead write natural audience operation.,Satisfied,No,Yes,Yes,No,Public,30–60 min,Yes,Yes,Sometimes,No,No,Owned,500–1000,<1000,Yes,No,<10,No,5–10,No,No,Yes,Yes,
Female,22,Single,No,Villa El Salvador,Primary,Primary,7,Total,SIS,No,Software Engineering,2,3,16+,No,Always,Whose body back goal that create thing rest reality table.,Satisfied,Yes,No,No,No,Public,30–60 min,Yes,Yes,Regularly,Yes,Yes,Dormitory,<500,1000–2000,No,Yes,10–20,No,5–10,No,No,No,No,
Male,21,Married,No,Punta Negra,Technical,Secondary,1,Total,SIS,No,Software Engineering,9,4–5,10–12,No,Almost always,Right become nor whom skill level.,Unsatisfied,Yes,Yes,No,No,Private,<30 min,Yes,Yes,Sometimes,Yes,Yes,Rented,500–1000,1000–2000,No,No,<10,Yes,<5,No,Yes,Yes,No,
Female,25,Single,No,San Martín de Porres,Secondary,Primary,4,Partial,EsSalud,No,Software Engineering,1,4–5,10–12,Yes,Always,Education beyond piece professional sport official I report.,Satisfied,Yes,Yes,Yes,No,Public,30–60 min,Yes,Yes,Sometimes,Yes,Yes,Shared,0,2000–4000,Yes,No,<10,Yes,5–10,No,Yes,No,Yes,
Male,18,Single,No,Punta Negra,Secondary,University,3,Partial,Private,No,Software Engineering,7,4–5,13–15,No,Almost always,Writer position seat model edge citizen involve so window use.,Very unsatisfied,Yes,No,Yes,No,Private,30–60 min,Yes,Yes,Regularly,No,Yes,Rented,500–1000,<1000,Yes,No,10–20,Yes,<5,No,No,Yes,No,
